,open,high,low,close,volume
1686146700000,1861.14,1862.31,1861.07,1862.31,7.96397
1686146760000,1861.62,1861.97,1861.5,1861.97,5.74283
1686146820000,1861.64,1861.67,1860.47,1860.47,5.04643
1686146880000,1860.26,1860.94,1859.87,1860.94,24.63286
1686146940000,1860.21,1861.0,1860.21,1861.0,3.45049
1686147000000,1860.05,1860.6,1858.31,1860.6,14.13173
1686147060000,1860.58,1860.97,1860.58,1860.97,4.26152
1686147120000,1861.07,1861.44,1860.65,1861.44,5.41107
1686147180000,1861.65,1862.3,1861.65,1861.66,4.72591
1686147240000,1861.13,1861.22,1858.04,1858.04,6.67504
1686147300000,1857.68,1857.7,1854.19,1854.19,14.07007
1686147360000,1853.31,1856.57,1853.31,1856.57,25.63575
1686147420000,1856.63,1859.23,1856.63,1859.23,14.76393
1686147480000,1859.29,1859.29,1857.52,1857.52,4.91656
1686147540000,1857.51,1858.24,1857.2,1858.24,38.38472
1686147600000,1858.24,1858.24,1858.09,1858.09,34.58979
1686147660000,1857.76,1857.8,1856.18,1856.66,11.14172
1686147720000,1856.68,1856.72,1851.63,1853.37,8.66053
1686147780000,1852.19,1852.99,1851.28,1852.48,20.236
1686147840000,1852.42,1853.13,1300.0,1848.27,19.08235
1686147900000,1847.51,1851.51,1846.71,1851.51,36.15527
1686147960000,1851.72,1853.9,1851.72,1853.63,16.39857
1686148020000,1852.58,1855.89,1846.62,1855.73,31.21397
1686148080000,1854.76,1856.08,1854.68,1856.08,12.75438
1686148140000,1856.16,1857.49,1853.75,1857.06,25.73853
1686148200000,1856.4,1856.4,1800.0,1800.0,31.81646
1686148260000,1800.0,1851.92,1800.0,1850.83,20.18388
1686148320000,1850.89,1852.0,1848.34,1852.0,26.86155
1686148380000,1852.22,1854.0,1851.74,1851.77,13.94613
1686148440000,1851.85,1853.62,1849.74,1849.8,30.94394
1686148500000,1849.73,1850.27,1848.57,1849.15,14.66196
1686148560000,1848.62,1850.23,1846.55,1850.23,19.02571
1686148620000,1850.24,1850.78,1842.27,1844.02,22.87322
1686148680000,1844.18,1844.97,1839.72,1839.86,24.55388
1686148740000,1840.01,1842.8,1840.01,1840.59,20.67456
1686148800000,1840.04,1844.3,1838.84,1844.3,19.6588
1686148860000,1844.68,1844.68,1840.6,1842.26,18.28878
1686148920000,1842.26,1846.06,1840.53,1845.64,32.16782
1686148980000,1845.38,1846.24,1844.74,1844.8,23.87681
1686149040000,1844.92,1846.41,1844.73,1846.03,17.27587
1686149100000,1845.63,1846.85,1844.04,1846.85,31.88764
1686149160000,1847.23,1847.24,1843.0,1843.0,9.27956
1686149220000,1843.0,1843.0,1840.81,1842.23,14.13475
1686149280000,1842.25,1842.75,1840.81,1841.0,17.67208
1686149340000,1841.0,1842.32,1840.02,1841.17,18.20131
1686149400000,1840.28,1840.99,1839.27,1840.65,17.57576
1686149460000,1841.03,1844.52,1841.03,1843.3,21.18843
1686149520000,1843.06,1843.48,1840.63,1841.67,27.53534
1686149580000,1841.37,1843.85,1839.51,1843.54,22.90137
1686149640000,1843.77,1844.13,1841.01,1841.02,9.26844
1686149700000,1841.21,1841.78,1839.15,1841.69,20.68223
1686149760000,1841.71,1843.28,1841.67,1843.28,13.64583
1686149820000,1842.29,1842.78,1841.67,1842.78,12.75106
1686149880000,1842.46,1843.39,1842.45,1843.39,10.28197
1686149940000,1843.5,1844.88,1843.5,1844.4,9.44092
1686150000000,1843.79,1843.79,1838.41,1838.83,12.38766
1686150060000,1838.92,1839.03,1836.25,1837.38,21.35124
1686150120000,1836.68,1840.22,1835.14,1840.22,25.27127
1686150180000,1840.04,1843.69,1835.97,1843.47,33.17982
1686150240000,1843.47,1843.55,1840.32,1841.57,16.17349
1686150300000,1841.6,1843.7,1841.6,1843.7,21.2098
1686150360000,1843.53,1845.62,1843.52,1844.3,14.59308
1686150420000,1844.31,1844.86,1843.76,1844.54,11.2437
1686150480000,1844.52,1846.31,1844.52,1845.84,18.6562
1686150540000,1845.92,1849.45,1845.92,1848.67,17.44984
1686150600000,1848.42,1849.21,1846.28,1846.55,26.469
1686150660000,1846.35,1846.92,1845.63,1846.18,8.98403
1686150720000,1846.19,1846.51,1845.93,1846.51,6.69792
1686150780000,1846.59,1847.22,1846.05,1847.07,30.12147
1686150840000,1846.99,1848.9,1846.41,1847.81,11.67067
1686150900000,1847.86,1848.34,1846.44,1846.72,7.3997
1686150960000,1846.44,1846.47,1845.04,1845.04,3.75354
1686151020000,1845.01,1847.04,1845.01,1847.04,14.08594
1686151080000,1846.26,1848.01,1846.14,1848.01,16.17222
1686151140000,1847.84,1848.79,1847.84,1847.93,11.1163
1686151200000,1847.79,1847.89,1846.73,1846.76,5.02174
1686151260000,1846.85,1847.62,1846.69,1847.62,6.81583
1686151320000,1847.66,1848.04,1847.24,1847.24,5.43209
1686151380000,1847.15,1847.24,1846.82,1847.22,6.24053
1686151440000,1847.06,1847.06,1845.54,1845.54,4.16683
1686151500000,1845.04,1845.99,1844.93,1845.25,9.88758
1686151560000,1845.31,1845.95,1845.14,1845.95,7.65197
1686151620000,1845.44,1845.98,1845.22,1845.97,6.25805
1686151680000,1845.99,1847.09,1845.86,1847.08,5.70656
1686151740000,1847.09,1847.81,1846.82,1847.05,8.82924
1686151800000,1846.95,1847.89,1846.24,1847.89,12.00372
1686151860000,1848.0,1849.91,1848.0,1849.91,17.47667
1686151920000,1849.15,1851.42,1848.68,1851.42,17.81132
1686151980000,1851.56,1851.66,1850.34,1851.23,18.0069
1686152040000,1850.76,1851.97,1850.76,1850.76,12.34363
1686152100000,1850.67,1850.76,1841.99,1848.5,11.93351
1686152160000,1848.59,1848.69,1848.04,1848.48,10.75286
1686152220000,1848.28,1848.77,1847.81,1848.2,17.46788
1686152280000,1848.17,1848.62,1847.67,1848.22,8.21735
1686152340000,1848.23,1848.82,1847.51,1848.82,9.70782
1686152400000,1848.83,1848.86,1847.01,1847.01,9.07078
1686152460000,1846.75,1846.78,1844.43,1844.55,7.79467
1686152520000,1844.57,1844.69,1841.05,1843.01,20.36801
1686152580000,1842.93,1843.85,1841.82,1842.2,13.34804
1686152640000,1841.4,1841.46,1840.08,1840.09,15.01488
1686152700000,1840.15,1842.88,1838.69,1841.38,32.93127
1686152760000,1841.19,1843.0,1841.15,1842.23,20.77995
1686152820000,1842.48,1843.33,1840.36,1840.79,13.73102
1686152880000,1840.8,1842.0,1839.29,1842.0,22.01894
1686152940000,1842.05,1842.56,1841.51,1841.93,12.2689
1686153000000,1841.94,1841.97,1839.26,1839.92,9.42767
1686153060000,1839.94,1839.99,1836.27,1837.86,15.29978
1686153120000,1837.99,1839.84,1837.99,1839.27,20.47016
1686153180000,1839.33,1840.19,1839.2,1839.72,13.26031
1686153240000,1839.43,1839.67,1838.05,1839.67,13.72798
1686153300000,1839.81,1850.07,1834.99,1838.15,31.46389
1686153360000,1838.23,1838.6,1837.02,1838.19,16.86979
1686153420000,1837.97,1838.01,1837.01,1838.01,11.57122
1686153480000,1837.51,1838.09,1837.01,1838.09,9.85382
1686153540000,1837.83,1839.27,1837.83,1839.22,12.0132
1686153600000,1838.04,1838.04,1834.92,1834.92,19.29042
1686153660000,1836.04,1836.35,1834.54,1836.35,20.33159
1686153720000,1836.5,1842.36,1836.5,1839.03,26.44098
1686153780000,1839.08,1840.76,1836.54,1840.47,46.6425
1686153840000,1840.24,1841.04,1837.04,1841.04,28.39467
1686153900000,1841.19,1841.37,1839.7,1839.72,9.31844
1686153960000,1839.36,1841.08,1839.14,1841.08,12.17756
1686154020000,1841.11,1841.16,1838.04,1840.56,50.29628
1686154080000,1840.56,1841.23,1840.01,1841.23,13.86281
1686154140000,1841.26,1841.26,1840.27,1840.27,5.14418
1686154200000,1839.82,1839.84,1838.69,1839.17,10.61263
1686154260000,1839.27,1841.38,1839.27,1840.51,17.34309
1686154320000,1840.51,1840.62,1838.67,1838.67,8.8076
1686154380000,1838.54,1838.54,1834.54,1834.54,10.74917
1686154440000,1833.9,1836.19,1833.44,1835.06,22.40165
1686154500000,1835.13,1837.17,1833.72,1837.17,17.55937
1686154560000,1837.37,1838.9,1836.66,1837.29,16.14737
1686154620000,1837.3,1838.6,1837.3,1838.6,13.15216
1686154680000,1838.37,1840.21,1838.35,1840.2,14.76226
1686154740000,1840.22,1841.32,1839.85,1839.92,9.18327
1686154800000,1839.79,1840.95,1839.37,1839.69,8.73855
1686154860000,1839.73,1840.01,1839.73,1840.01,5.40695
1686154920000,1839.17,1840.75,1839.17,1840.75,9.93962
1686154980000,1840.78,1841.51,1840.78,1841.12,13.26473
