open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1686706680000,1743.10000000,1743.10000000,1742.97000000,1742.98000000,24.55820000,1686706739999,42806.77300600,123,11.70750000,20407.06635000,0
1686706740000,1742.97000000,1743.49000000,1742.70000000,1742.71000000,66.33890000,1686706799999,115637.64094200,248,31.53630000,54973.74840700,0
1686706800000,1742.71000000,1743.64000000,1742.53000000,1743.64000000,103.76500000,1686706859999,180888.07967700,240,51.31440000,89435.65488700,0
1686706860000,1743.63000000,1743.64000000,1743.63000000,1743.63000000,12.37280000,1686706919999,21573.61823400,118,3.29700000,5748.78108000,0
1686706920000,1743.64000000,1743.82000000,1743.63000000,1743.82000000,71.48970000,1686706979999,124657.84642500,210,55.12890000,96129.49053900,0
1686706980000,1743.81000000,1743.82000000,1743.81000000,1743.81000000,121.54180000,1686707039999,211946.24478200,185,43.85240000,76470.69216800,0
1686707040000,1743.82000000,1743.82000000,1743.21000000,1743.49000000,77.49300000,1686707099999,135107.56553900,190,38.93630000,67879.23533700,0
1686707100000,1743.50000000,1743.79000000,1743.49000000,1743.79000000,64.94410000,1686707159999,113235.97648000,160,55.80320000,97298.82923800,0
1686707160000,1743.78000000,1744.38000000,1743.78000000,1744.13000000,162.72960000,1686707219999,283802.20037300,289,141.00920000,245915.36268900,0
1686707220000,1744.13000000,1744.34000000,1744.00000000,1744.00000000,35.15510000,1686707279999,61320.12429100,161,20.30970000,35425.83060200,0
1686707280000,1744.01000000,1744.24000000,1744.00000000,1744.21000000,73.59370000,1686707339999,128360.46344300,184,30.70400000,53551.15915100,0
1686707340000,1744.21000000,1744.38000000,1744.21000000,1744.38000000,42.57110000,1686707399999,74257.40634300,135,40.06750000,69890.30213100,0
1686707400000,1744.37000000,1744.79000000,1744.37000000,1744.44000000,101.90460000,1686707459999,177785.04000800,222,64.63710000,112764.71174900,0
1686707460000,1744.43000000,1744.88000000,1744.43000000,1744.88000000,93.34420000,1686707519999,162855.63308600,249,50.11020000,87423.30788600,0
1686707520000,1744.87000000,1745.68000000,1744.87000000,1745.67000000,433.12730000,1686707579999,755817.97056800,434,255.14020000,445226.27600600,0
1686707580000,1745.67000000,1747.25000000,1745.39000000,1747.24000000,305.66490000,1686707639999,533737.91241300,568,157.26280000,274591.74072400,0
1686707640000,1747.25000000,1747.25000000,1746.41000000,1746.41000000,130.54010000,1686707699999,228044.10924800,219,12.58270000,21979.61582700,0
1686707700000,1746.41000000,1747.13000000,1746.41000000,1747.09000000,90.71080000,1686707759999,158456.05675000,248,64.21420000,112164.51785000,0
1686707760000,1747.09000000,1747.10000000,1746.76000000,1746.76000000,41.30010000,1686707819999,72148.01894600,123,12.37960000,21626.04248600,0
1686707820000,1746.76000000,1746.81000000,1746.76000000,1746.76000000,33.27420000,1686707879999,58122.88020300,161,11.89610000,20780.07838300,0
1686707880000,1746.77000000,1746.77000000,1746.41000000,1746.68000000,65.21480000,1686707939999,113901.37336100,162,40.91580000,71460.15722500,0
1686707940000,1746.68000000,1747.22000000,1746.67000000,1747.22000000,42.49660000,1686707999999,74246.71445900,142,38.20450000,66748.52178700,0
1686708000000,1747.21000000,1748.45000000,1747.21000000,1747.46000000,244.81140000,1686708059999,427918.46592300,512,114.91270000,200841.51850900,0
1686708060000,1747.47000000,1747.47000000,1746.27000000,1746.28000000,95.87080000,1686708119999,167458.46846900,244,8.93180000,15602.63397300,0
1686708120000,1746.27000000,1746.28000000,1745.36000000,1745.37000000,47.06840000,1686708179999,82174.74237100,213,4.92100000,8591.26847700,0
1686708180000,1745.36000000,1745.46000000,1745.35000000,1745.35000000,65.24220000,1686708239999,113873.16512900,139,45.75970000,79868.45773500,0
1686708240000,1745.35000000,1746.50000000,1745.35000000,1746.41000000,173.46390000,1686708299999,302824.88446500,240,155.28580000,271078.04605300,0
1686708300000,1746.42000000,1746.52000000,1746.16000000,1746.51000000,52.52340000,1686708359999,91724.35825900,144,14.28870000,24951.96070300,0
1686708360000,1746.51000000,1746.52000000,1745.88000000,1745.88000000,93.63750000,1686708419999,163502.30637200,199,2.67040000,4663.35612400,0
1686708420000,1745.88000000,1745.89000000,1745.88000000,1745.88000000,11.22820000,1686708479999,19603.09811100,83,0.82950000,1448.21575500,0
1686708480000,1745.88000000,1745.94000000,1745.88000000,1745.94000000,65.14520000,1686708539999,113737.26226800,160,50.16470000,87582.79505300,0
1686708540000,1745.94000000,1745.99000000,1745.25000000,1745.98000000,95.59740000,1686708599999,166881.24840800,205,25.66810000,44806.78010800,0
1686708600000,1745.98000000,1746.55000000,1745.98000000,1746.31000000,33.82770000,1686708659999,59071.81872100,195,18.38340000,32100.21855800,0
1686708660000,1746.30000000,1746.44000000,1745.98000000,1745.99000000,64.33290000,1686708719999,112342.17198400,151,11.11980000,19418.32101400,0
1686708720000,1745.99000000,1746.33000000,1745.82000000,1745.83000000,94.53030000,1686708779999,165063.66010300,183,49.20310000,85909.72223400,0
1686708780000,1745.83000000,1746.57000000,1745.82000000,1746.56000000,58.14190000,1686708839999,101525.59638000,205,38.64900000,67484.40170400,0
1686708840000,1746.56000000,1746.57000000,1746.25000000,1746.25000000,17.63190000,1686708899999,30794.66054400,113,3.23680000,5653.01056700,0
1686708900000,1746.26000000,1746.26000000,1745.35000000,1745.35000000,62.05780000,1686708959999,108342.61794400,261,25.61820000,44728.58711700,0
1686708960000,1745.36000000,1745.64000000,1745.35000000,1745.63000000,59.40950000,1686709019999,103692.64499500,206,49.38780000,86200.85375600,0
1686709020000,1745.63000000,1745.64000000,1745.54000000,1745.55000000,27.32270000,1686709079999,47695.12429000,110,5.69970000,9949.54365100,0
1686709080000,1745.54000000,1745.55000000,1745.34000000,1745.35000000,29.90790000,1686709139999,52204.14134200,155,19.61390000,34236.35666400,0
1686709140000,1745.34000000,1745.35000000,1745.34000000,1745.34000000,5.81570000,1686709199999,10150.40605400,99,3.22160000,5622.81956000,0
1686709200000,1745.35000000,1745.35000000,1745.34000000,1745.35000000,19.15710000,1686709259999,33435.71054100,86,5.76270000,10057.92844500,0
1686709260000,1745.35000000,1745.35000000,1745.34000000,1745.35000000,16.39160000,1686709319999,28609.00294700,123,8.78030000,15324.69660500,0
1686709320000,1745.34000000,1745.35000000,1745.26000000,1745.27000000,30.19580000,1686709379999,52700.99525900,106,6.45170000,11260.43218700,0
1686709380000,1745.27000000,1745.27000000,1745.00000000,1745.01000000,39.68240000,1686709439999,69252.08663400,189,5.46490000,9537.06394600,0
1686709440000,1745.00000000,1745.10000000,1745.00000000,1745.09000000,74.28300000,1686709499999,129626.28942900,167,47.34790000,82624.30354700,0
1686709500000,1745.10000000,1745.78000000,1745.09000000,1745.38000000,170.16310000,1686709559999,297010.64287700,257,126.04860000,220000.60172800,0
1686709560000,1745.38000000,1745.39000000,1745.26000000,1745.27000000,84.68750000,1686709619999,147804.47355700,124,4.93680000,8616.45001200,0
1686709620000,1745.27000000,1745.27000000,1745.26000000,1745.26000000,24.53030000,1686709679999,42811.80127400,91,4.98960000,8708.19919200,0
1686709680000,1745.27000000,1745.27000000,1745.26000000,1745.26000000,27.34480000,1686709739999,47724.03059200,85,24.49440000,42749.34148800,0
1686709740000,1745.27000000,1745.61000000,1745.26000000,1745.60000000,63.79330000,1686709799999,111354.37223100,140,61.05880000,106581.17170100,0
1686709800000,1745.60000000,1745.61000000,1745.00000000,1745.01000000,38.82950000,1686709859999,67771.68904800,153,3.49650000,6102.93245200,0
1686709860000,1745.01000000,1745.01000000,1744.82000000,1744.83000000,33.77520000,1686709919999,58935.69929800,112,4.68800000,8179.83887400,0
1686709920000,1744.82000000,1745.69000000,1744.82000000,1745.69000000,48.79210000,1686709979999,85145.08265400,178,39.81710000,69483.76611100,0
1686709980000,1745.69000000,1746.23000000,1745.68000000,1745.81000000,178.32170000,1686710039999,311351.67421600,285,122.33620000,213596.26059100,0
1686710040000,1745.82000000,1746.09000000,1745.81000000,1745.88000000,97.47620000,1686710099999,170183.16955800,225,79.33160000,138501.96927100,0
1686710100000,1745.88000000,1745.89000000,1745.13000000,1745.14000000,127.64370000,1686710159999,222815.26410000,194,32.07600000,55988.50181000,0
1686710160000,1745.13000000,1745.38000000,1745.13000000,1745.20000000,16.56740000,1686710219999,28913.51345000,121,12.07590000,21074.70323300,0
